,20141231,20151231,20161231,20171231,20181231,20191231
销售商品、提供劳务收到的现金,168522138.31,116352020.34,114934471.10,252312433.09,442771016.85,407594803.84
收到的税费返还,1153662.08,7650499.71,2605711.14,7444818.62,23770418.06,9886139.77
收到的其他与经营活动有关的现金,1978457.56,5168140.37,3044097.49,4599780.59,5339590.81,24390044.18
经营活动现金流入小计,171654257.95,129170660.42,120584279.73,264357032.30,471881025.72,441870987.79
购买商品、接受劳务支付的现金,75630100.50,89137473.54,77148138.10,127358232.65,197416868.79,182969449.14
支付给职工以及为职工支付的现金,33401021.37,40691430.48,45167673.58,62004143.59,101627754.72,93000015.97
支付的各项税费,23345686.55,13420061.32,22111230.52,30567554.73,55090102.42,49475757.41
支付的其他与经营活动有关的现金,13795943.85,20072885.79,21539069.05,28421924.81,56694014.82,51588581.85
经营活动现金流出小计,146172752.27,163321851.13,165966111.25,248351855.78,410828740.75,377033804.37
经营活动产生的现金流量净额,25481505.68,-34151190.71,-45381831.52,16005176.52,61052284.97,64837183.42
收回投资所收到的现金,0,0,0,0,0,0
取得投资收益所收到的现金,114411.82,0,1053150.65,0,538605.79,98123.13
处置固定资产、无形资产和其他长期资产所收回的现金净额,1650.00,24673.40,15500.00,41701.07,35573.44,153336.29
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0
收到的其他与投资活动有关的现金,0,0,67769342.00,13472504.62,82808000.00,25630000.00
投资活动现金流入小计,116061.82,24673.40,68837992.65,13514205.69,83382179.23,25881459.42
购建固定资产、无形资产和其他长期资产所支付的现金,1900449.13,25941257.76,101912483.55,23608949.52,8918923.15,27636450.68
投资所支付的现金,0,0,0,5500000.00,426914617.58,3000000.00
取得子公司及其他营业单位支付的现金净额,0,0,1047386.96,0,0,53058475.47
支付的其他与投资活动有关的现金,0,60000000.00,0,6000000.00,73800000.00,12130000.00
投资活动现金流出小计,1900449.13,85941257.76,102959870.51,35108949.52,509633540.73,95824926.15
投资活动产生的现金流量净额,-1784387.31,-85916584.36,-34121877.86,-21594743.83,-426251361.50,-69943466.73
吸收投资收到的现金,0,175961300.00,0,150000.00,357999989.73,2000000.00
其中：子公司吸收少数股东投资收到的现金,0,0,0,150000.00,0,2000000.00
取得借款收到的现金,14900000.00,5000000.00,67200000.00,69900000.00,168170132.44,191030000.00
发行债券收到的现金,0,0,0,0,0,0
收到其他与筹资活动有关的现金,0,0,0,2191875.28,1606740.99,3916627.42
筹资活动现金流入小计,14900000.00,180961300.00,67200000.00,72241875.28,527776863.16,196946627.42
偿还债务支付的现金,13900000.00,19900000.00,7600000.00,59600000.00,133900000.00,173170132.44
分配股利、利润或偿付利息所支付的现金,6847666.25,8748757.17,6724106.17,6415993.64,22833922.55,25495028.97
其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0
支付其他与筹资活动有关的现金,834082.88,8803992.60,0,2855713.48,4140574.41,2986229.87
筹资活动现金流出小计,21581749.13,37452749.77,14324106.17,68871707.12,160874496.96,201651391.28
筹资活动产生的现金流量净额,-6681749.13,143508550.23,52875893.83,3370168.16,366902366.20,-4704763.86
四、汇率变动对现金及现金等价物的影响,160274.68,886697.36,833936.60,-1253675.16,-210459.16,24778.77
五、现金及现金等价物净增加额,17175643.92,24327472.52,-25793878.95,-3473074.31,1492830.51,-9786268.40
加:期初现金及现金等价物余额,48125320.48,65300964.40,89628436.92,63834557.97,60361483.66,61854314.17
六、期末现金及现金等价物余额,65300964.40,89628436.92,63834557.97,60361483.66,61854314.17,52068045.77
净利润,34535460.14,25228234.56,16168373.84,22933301.39,71682002.71,72216346.53
少数股东权益,0,0,0,0,0,0
未确认的投资损失,0,0,0,0,0,0
资产减值准备,3085907.07,9036346.76,13645685.95,6388149.15,55050352.93,56805487.24
固定资产折旧、油气资产折耗、生产性物资折旧,2192675.13,2166314.53,2627384.29,7659182.54,12131019.02,11468817.45
无形资产摊销,552274.72,571608.95,746844.34,934906.71,2898918.36,4181087.92
长期待摊费用摊销,0,0,0,5005.80,721918.71,845464.50
待摊费用的减少,0,0,0,0,0,0
预提费用的增加,0,0,0,0,0,0
处置固定资产、无形资产和其他长期资产的损失,6678.53,-17049.52,12342.97,0,-23839.53,-124474.67
固定资产报废损失,0,0,0,14429.29,4756.96,0
公允价值变动损失,0,-646416.67,646416.67,-23443.50,191398.01,2002594.37
递延收益增加（减：减少）,0,0,0,0,0,0
预计负债,0,0,0,0,0,0
财务费用,845191.57,-291540.19,639333.03,3987478.49,9246413.83,11651343.71
投资损失,-114411.82,0,-1053150.65,0,866225.28,551417.31
递延所得税资产减少,-686507.88,-731867.57,-3522656.06,-3743450.70,-4606314.19,-5885840.68
递延所得税负债增加,0,96962.50,-96962.50,3516.53,-240893.86,-527619.18
存货的减少,-54571646.15,3800219.14,11620254.61,-11877090.82,-24611305.49,-6601511.06
经营性应收项目的减少,-17439790.64,-54392738.43,-99548301.12,-32501531.37,-5978219.16,-8102951.96
经营性应付项目的增加,57075675.01,-18971264.77,12732603.11,22224723.01,6236875.95,8398827.07
已完工尚未结算款的减少(减:增加),0,0,0,0,0,0
已结算尚未完工款的增加(减:减少),0,0,0,0,0,0
其他,0,0,0,0,-62517024.56,-82041805.13
经营活动产生现金流量净额,25481505.68,-34151190.71,-45381831.52,16005176.52,61052284.97,64837183.42
债务转为资本,0,0,0,0,0,0
一年内到期的可转换公司债券,0,0,0,0,0,0
融资租入固定资产,0,0,0,0,0,0
现金的期末余额,65300964.40,89628436.92,63834557.97,60361483.66,61854314.17,52068045.77
现金的期初余额,48125320.48,65300964.40,89628436.92,63834557.97,60361483.66,61854314.17
现金等价物的期末余额,0,0,0,0,0,0
现金等价物的期初余额,0,0,0,0,0,0
现金及现金等价物的净增加额,17175643.92,24327472.52,-25793878.95,-3473074.31,1492830.51,-9786268.40
